# {"t_start": 1563755459.0861306, "env_id": "SignalizedEco-v0"} 
r,l,t
-247.139085,246,0.698385
-263.605298,208,0.803439
-261.103856,228,0.922855
-255.096135,223,1.032667
-254.665106,234,1.14751
-251.576561,225,1.257698
-248.882159,247,1.380837
-247.716342,227,1.493005
-246.587885,241,1.73331
-253.681227,244,1.851836
-269.125223,206,1.952334
-260.342146,219,2.065791
-246.66498,256,2.192097
-264.157451,202,2.291864
-253.121115,239,2.409639
-264.969681,200,2.509755
-259.53801,225,2.622496
-252.083742,226,2.735578
-263.965338,219,2.930038
-265.180614,207,3.031562
-260.347337,211,3.140796
-269.894365,206,3.241611
-264.503288,220,3.350089
-262.149338,225,3.460537
-266.704636,205,3.560976
-269.90452,201,3.659887
-266.98286,207,3.761395
-265.166646,223,3.953506
-271.645712,194,4.052108
-273.187993,198,4.153282
-266.274977,209,4.256771
-260.387607,227,4.372755
-262.84324,216,4.479989
-262.216577,231,4.595011
-267.250874,218,4.703469
-275.374532,193,4.799548
-272.230301,200,4.899351
-265.762036,238,5.104271
-270.816669,217,5.211642
-255.993643,239,5.330072
-270.66216,198,5.428828
-265.443019,217,5.535563
-266.493956,209,5.638084
-265.789522,221,5.746566
-270.896851,210,5.850074
-265.86066,207,5.952239
-267.73168,214,6.140788
-273.449974,195,6.236418
-265.70874,205,6.336856
-263.241138,217,6.443268
-272.690158,197,6.540646
-271.881985,203,6.640779
-273.762044,203,6.740754
-272.419382,201,6.839636
-272.109712,206,6.940763
-271.348938,195,7.037268
-268.059163,208,7.222211
-265.760889,211,7.326684
-267.490376,218,7.434558
-254.261934,236,7.551819
-261.786572,218,7.658796
-264.678185,200,7.757335
-269.465085,208,7.86113
-255.77094,233,7.977412
-271.245956,210,8.08317
-265.544821,204,8.183005
-253.942795,225,8.379043
-264.728906,201,8.477327
-253.915372,233,8.59159
-262.046643,223,8.700634
-257.312917,228,8.81332
-247.097595,255,8.93808
-249.304247,261,9.065979
-255.309663,221,9.174217
-251.978981,230,9.287176
-258.130264,220,9.475915
-256.415166,213,9.580174
-255.052641,219,9.687768
-266.556639,204,9.788275
-253.911026,230,9.898673
